"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.33600","1500","19116","MR3 3.7.45","3.18.64","Project 1","MyoMetrics Demo Record","","","male","2015-06-23T08:45:22.000Z","Treadmill Gait with MyoMotion & EMG  - Bilateral Gait Report"

"time","Activity","Marker","Ankle Dorsiflexion 左 (deg)","Ankle Abduction 左 (deg)","Ankle Inversion 左 (deg)","Ankle Dorsiflexion 右 (deg)","Ankle Abduction 右 (deg)","Ankle Inversion 右 (deg)","TIB.ANT. 左 (uV)","TIB.ANT. 右 (uV)","MED. GASTRO 左 (uV)","MED. GASTRO 右 (uV)"
0.40333,"","",-4.434711456,0.153123036,-1.217970967,-20.08103371,-1.35929656,2.589618921,9.306462393,30.83056718,28.17218591,9.042585267
0.40400,"","",-4.392606258,0.1097278446,-1.231475592,-20.09805489,-1.216588974,2.542952299,9.327199415,30.87496971,28.17600026,9.069806279
0.40467,"","",-4.35050106,0.06664261967,-1.244980335,-20.11507607,-1.074146152,2.49666214,9.434742581,30.89086631,28.1987571,9.074007053
0.40533,"","",-4.310583591,0.03812577575,-1.25772059,-20.06663132,-0.9420291185,2.446984768,9.569412669,30.9597025,28.21879863,9.091538281
0.40600,"","",-4.270118713,0.009608935565,-1.270460844,-20.01753235,-0.8099120259,2.397307396,9.64169084,31.1098861,28.2312761,9.111758006
0.40667,"","",-4.229653835,-0.01890790462,-1.283201218,-19.96908569,-0.6780596972,2.348006487,9.64404184,31.34691221,28.28306083,9.129289234
0.40733,"","",-4.189189434,-0.04742474481,-1.295941472,-19.91998672,-0.5459426641,2.298329115,9.672133273,31.60832292,28.33756086,9.15359771
0.40800,"","",-4.148724556,-0.075941585,-1.308681726,-19.87154198,-0.4138256013,2.248651743,9.702937396,31.81144611,28.37854903,9.177906186
0.40867,"","",-4.10880661,-0.1044584289,-1.321421981,-19.82244301,-0.2819733024,2.198974609,9.7378407,32.00642474,28.42089484,9.195437415
0.40933,"","",-4.068342209,-0.1329752654,-1.333907485,-19.77399826,-0.1498562247,2.149673462,9.772744004,32.26651074,28.47811018,9.217001386
0.41000,"","",-4.027877331,-0.1614921093,-1.346647739,-19.72555351,-0.01773916557,2.099996328,9.800835436,32.53469221,28.56519386,9.24808711
0.41067,"","",-3.987412691,-0.1900089532,-1.359388113,-19.67645454,0.1141131371,2.050318956,9.823501484,32.75542923,28.66721172,9.269651081
0.41133,"","",-3.946948051,-0.2182158232,-1.372128367,-19.6280098,0.2462301999,2.001017809,9.840380455,32.58591457,28.61484514,9.234196553
0.41200,"","",-3.907030106,-0.2467326671,-1.384868622,-19.57890892,0.3783472776,1.951340556,9.86208199,32.49573574,28.54890204,9.186475764
0.41267,"","",-3.866565466,-0.275249511,-1.397608876,-19.53046417,0.5104643106,1.901663184,9.866120886,32.85183912,28.53998033,9.119823491
0.41333,"","",-3.826100826,-0.30376634,-1.41034925,-19.48201942,0.6423166394,1.852362275,9.872932756,33.40591402,28.44966414,9.066949751
0.41400,"","",-3.785635948,-0.3322831988,-1.422834635,-19.43292046,0.7744336724,1.802684903,9.881070832,33.79184809,28.42929936,9.037096254
0.41467,"","",-3.745171309,-0.3608000278,-1.435575008,-19.38447571,0.906550765,1.753007531,9.882397037,33.94316014,28.40486163,9.030319006
0.41533,"","",-3.706893921,-0.3747484982,-1.439142227,-19.24765205,0.9589739442,1.692792654,9.885109727,34.04697866,28.389087,9.030543047
0.41600,"","",-3.668616533,-0.3886969388,-1.442454696,-19.11148262,1.011397123,1.632201314,9.90409857,34.15957956,28.41947255,9.011555551
0.41667,"","",-3.630339146,-0.4026453793,-1.446022034,-18.97531319,1.063820362,1.571610093,9.936650873,34.285722,28.57055983,9.030543048
